anime_name,rating,watch_year,times_watched,accessibility,release_year,mal_rating,url
Horimiya,7.75,2021,1,3,2021,8.20,https://myanimelist.net/anime/42897/Horimiya
Fire Force,7.74,2020,1,3,2019,7.71,https://myanimelist.net/anime/38671/Enen_no_Shouboutai
Bloom Into You,7.73,2020,1,5,2018,7.89,https://myanimelist.net/anime/37786/Yagate_Kimi_ni_Naru
Sonny Boy,7.72,2022,1,8,2021,7.79,https://myanimelist.net/anime/48849/Sonny_Boy
Kyoukai no Kanata,7.71,2020,2,6,2013,7.72,https://myanimelist.net/anime/18153/Kyoukai_no_Kanata?q=kyoukai
Quintessential Quintuplets,7.70,2019,2,3,2019,7.65,https://myanimelist.net/anime/38101/5-toubun_no_Hanayome?q=quintess
Demon Slayer,7.70,2020,1.5,1,2019,8.48,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
To Your Eternity,7.69,2022,1,5,2022,8.35,https://myanimelist.net/anime/41025/Fumetsu_no_Anata_e
Kill la Kill,7.67,2022,1,5,2013,8.03,https://myanimelist.net/anime/18679/Kill_la_Kill
Snow White With the Red Hair,7.65,2019,1,4,2015,7.76,https://myanimelist.net/anime/30123/Akagami_no_Shirayuki-hime?q=snow%20white
Kotaro Lives Alone,7.62,2022,1,7,2022,8.19,https://myanimelist.net/anime/49909/Kotarou_wa_Hitorigurashi
Terror in Resonance,7.61,2020,1,6,2014,8.09,https://myanimelist.net/anime/23283/Zankyou_no_Terror
Astra Lost in Space,7.59,2020,1,5,2019,8.08,https://myanimelist.net/anime/39198/Kanata_no_Astra
Beastars,7.57,2020,1,5,2019,7.82,https://myanimelist.net/anime/39195/Beastars?q=bea
Toradora,7.55,2019,1,2,2008,8.07,https://myanimelist.net/anime/4224/Toradora
Skip and Loafer,7.54,2022,1,4,2023,8.13,https://myanimelist.net/anime/50416/Skip_to_Loafer
Bokura wa Minna Kawai-sou,7.53,2020,1,5,2014,7.66,https://myanimelist.net/anime/21405/Bokura_wa_Minna_Kawai-sou
ReLIFE,7.52,2020,1,5,2016,7.97,https://myanimelist.net/anime/30015/ReLIFE
Saekano: How to Raise a Boring Girlfriend,7.50,2020,1,5,2015,7.48,https://myanimelist.net/anime/23277/Saenai_Heroine_no_Sodatekata
Kokoro Connect,7.49,2020,1,4,2012,7.74,https://myanimelist.net/anime/11887/Kokoro_Connect
Tsuki ga Kirei,7.47,2019,1,5,2017,8.05,https://myanimelist.net/anime/34822/Tsuki_ga_Kirei
Kimi wa Houkago Insomnia,7.45,2023,1,6,2023,8.08,https://myanimelist.net/anime/50796/Kimi_wa_Houkago_Insomnia
Kaichou wa Maid-sama!,7.44,2019,1,3,2010,8.00,https://myanimelist.net/anime/7054/Kaichou_wa_Maid-sama
Angel Beats,7.42,2019,1,3,2010,8.10,https://myanimelist.net/anime/6547/Angel_Beats?q=angel
Komi-san wa Comyushou desu,7.41,2021,1,5,2021,8.10,https://myanimelist.net/anime/48926/Komi-san_wa_Comyushou_desu
Erased,7.39,2020,1,3,2016,8.30,https://myanimelist.net/anime/31043/Boku_dake_ga_Inai_Machi?q=erased
"Love, Chuunibyou, & Other Delusions",7.36,2019,1,3,2012,8.20,https://myanimelist.net/anime/14741/Chuunibyou_demo_Koi_ga_Shitai
